AREA,AREA_TITLE,AREA_TYPE,PRIM_STATE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,A_MEAN,MEAN_PRSE,A_PCT10,A_PCT25,AM
35620,"New York-Newark-Jersey City, NY-NJ-PA",4,NY,0,Cross-industry,cross-industry,1235,39-9099,"Personal Care and Service Workers, All Other",detailed,"2,790",20.2,"36,720",4.7,"27,040","28,370",36.72
35620,"New York-Newark-Jersey City, NY-NJ-PA",4,NY,0,Cross-industry,cross-industry,1235,41-0000,Sales and Related Occupations,major,"787,080",0.8,"69,130",1,"29,830","33,430",69.13
35620,"New York-Newark-Jersey City, NY-NJ-PA",4,NY,0,Cross-industry,cross-industry,1235,41-1011,First-Line Supervisors of Retail Sales Workers,detailed,"51,060",2.1,"61,110",1.3,"36,210","42,440",61.11
35620,"New York-Newark-Jersey City, NY-NJ-PA",4,NY,0,Cross-industry,cross-industry,1235,41-1012,First-Line Supervisors of Non-Retail Sales Workers,detailed,"22,570",6.1,"124,070",1.8,"67,150","85,180",124.07
35620,"New York-Newark-Jersey City, NY-NJ-PA",4,NY,0,Cross-industry,cross-industry,1235,41-2011,Cashiers,detailed,"172,480",3.1,"34,420",0.7,"28,130","30,180",34.42
35620,"New York-Newark-Jersey City, NY-NJ-PA",4,NY,0,Cross-industry,cross-industry,1235,41-2012,Gambling Change Persons and Booth Cashiers,detailed,380,4.8,"54,740",1.9,"33,910","36,300",54.74
35620,"New York-Newark-Jersey City, NY-NJ-PA",4,NY,0,Cross-industry,cross-industry,1235,41-2021,Counter and Rental Clerks,detailed,"15,270",10.7,"43,380",2.7,"28,030","31,480",43.38
35620,"New York-Newark-Jersey City, NY-NJ-PA",4,NY,0,Cross-industry,cross-industry,1235,41-2022,Parts Salespersons,detailed,"7,650",4.5,"48,350",2,"30,710","35,910",48.35
35620,"New York-Newark-Jersey City, NY-NJ-PA",4,NY,0,Cross-industry,cross-industry,1235,41-2031,Retail Salespersons,detailed,"231,800",1.7,"40,570",0.6,"28,980","31,330",40.57
35620,"New York-Newark-Jersey City, NY-NJ-PA",4,NY,0,Cross-industry,cross-industry,1235,41-3011,Advertising Sales Agents,detailed,"17,970",4.5,"110,950",2.8,"47,520","63,920",110.95
